"Quantity","LCSC Part Number","Value","Footprint"
"5","C28233","100n","C_0805_2012Metric"
"3","C15850","10u","C_0805_2012Metric"
"1","C169530","B5819WS","D_SOD-323"
"1","C601927","IDC EDGE 2x8","IDC-Female_2x08_P2.54mm_Edge"
"1","C165948","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12"
"1","C3406","matching connector for BOM",""
"1","C84256","ESP-red","LED_0805_2012Metric"
"1","C779458","PWR-yellow","LED_0805_2012Metric"
"1","C965815","RX-green","LED_0805_2012Metric"
"1","C965817","TX-blue","LED_0805_2012Metric"
"2","C13490","DTC114YUA","SOT-323_SC-70"
"5","C17710","470","R_0805_2012Metric"
"4","C17513","1k","R_0805_2012Metric"
"2","C17673","4k7","R_0805_2012Metric"
"5","C17414","10k","R_0805_2012Metric"
"1","C109335","ESP Power","SW_SPDT_PCM12"
"1","C319398","RESET","1TS003B-2400-3500A-CT"
"1","C84681","CH340C","SOIC-16_3.9x9.9mm_P1.27mm"
"1","C82942","ME6211C33M5G-N","SOT-23-5"
"1","C5261088","USBLC6-2SC6","SOT-23-6"
