Designator,Mid X,Mid Y,Layer,Rotation
"C1",51.650,-63.450,top,-90.000
"C1",25.150,-63.450,top,-90.000
"C1",78.150,-63.450,top,-90.000
"C1",21.850,-23.500,top,-90.000
"C1",74.850,-23.500,top,-90.000
"C1",48.350,-23.500,top,-90.000
"C2",67.650,-83.275,top,0.000
"C2",85.350,-3.675,top,0.000
"C2",14.650,-83.275,top,0.000
"C2",58.850,-3.675,top,0.000
"C2",32.350,-3.675,top,0.000
"C2",41.150,-83.275,top,0.000
"C3",52.850,-77.575,top,180.000
"C3",79.350,-77.575,top,180.000
"C3",73.650,-9.375,top,180.000
"C3",20.650,-9.375,top,180.000
"C3",26.350,-77.575,top,180.000
"C3",47.150,-9.375,top,180.000
"C4",32.350,-9.275,top,180.000
"C4",14.650,-77.675,top,180.000
"C4",41.150,-77.675,top,180.000
"C4",58.850,-9.275,top,180.000
"C4",85.350,-9.275,top,180.000
"C4",67.650,-77.675,top,180.000
"C5",18.150,-75.675,top,0.000
"C5",71.150,-75.675,top,0.000
"C5",55.350,-11.275,top,0.000
"C5",81.850,-11.275,top,0.000
"C5",44.650,-75.675,top,0.000
"C5",28.850,-11.275,top,0.000
"C6",66.650,-3.375,top,0.000
"C6",86.350,-83.575,top,0.000
"C6",59.850,-83.575,top,0.000
"C6",13.650,-3.375,top,0.000
"C6",40.150,-3.375,top,0.000
"C6",33.350,-83.575,top,0.000
"C7",67.650,-75.675,top,0.000
"C7",41.150,-75.675,top,0.000
"C7",85.350,-11.275,top,0.000
"C7",58.850,-11.275,top,0.000
"C7",14.650,-75.675,top,0.000
"C7",32.350,-11.275,top,0.000
"C8",33.850,-23.500,top,-90.000
"C8",60.350,-23.500,top,-90.000
"C8",13.150,-63.450,top,-90.000
"C8",86.850,-23.500,top,-90.000
"C8",39.650,-63.450,top,-90.000
"C8",66.150,-63.450,top,-90.000
"D1",32.250,-1.575,top,0.000
"D1",67.750,-85.375,top,0.000
"D1",41.250,-85.375,top,0.000
"D1",85.250,-1.575,top,0.000
"D1",58.750,-1.575,top,0.000
"D1",14.750,-85.375,top,0.000
"J1",22.750,-82.550,top,0.000
"J1",77.250,-4.400,top,0.000
"J1",49.250,-82.550,top,0.000
"J1",50.750,-4.400,top,0.000
"J1",24.250,-4.400,top,0.000
"J1",75.750,-82.550,top,0.000
"LED1",86.350,-77.575,top,0.000
"LED1",59.850,-77.575,top,0.000
"LED1",33.350,-77.575,top,0.000
"LED1",66.650,-9.375,top,0.000
"LED1",40.150,-9.375,top,0.000
"LED1",13.650,-9.375,top,0.000
