Designator,Mid X,Mid Y,Layer,Rotation
"C1",110.100,-119.500,top,-90.000
"C2",120.600,-99.675,top,180.000
"C3",108.900,-105.375,top,180.000
"C4",120.600,-105.275,top,0.000
"C5",117.100,-107.275,top,0.000
"C6",101.900,-99.375,top,180.000
"C7",120.600,-107.275,top,0.000
"C8",122.100,-119.500,top,90.000
"D1",120.500,-97.575,top,180.000
"J1",112.500,-100.400,top,180.000
"LED1",101.900,-105.375,top,0.000
"LED2",101.900,-103.375,top,0.000
"LED3",101.900,-101.375,top,0.000
"LED4",101.900,-107.375,top,0.000
"Q1",106.100,-116.400,top,0.000
"Q2",102.600,-116.400,top,180.000
"R1",112.100,-119.500,top,90.000
"R2",114.100,-119.500,top,90.000
"R3",116.100,-119.500,top,90.000
"R4",118.100,-119.500,top,90.000
"R5",105.400,-99.375,top,0.000
"R6",105.400,-97.375,top,0.000
"R7",108.900,-107.375,top,180.000
"R8",105.400,-105.375,top,0.000
"R9",105.400,-103.375,top,0.000
"R10",105.400,-101.375,top,0.000
"R11",101.700,-119.500,top,-90.000
"R12",105.400,-107.375,top,0.000
"R13",103.900,-119.500,top,-90.000
"R14",108.100,-119.500,top,90.000
"R15",106.100,-119.500,top,90.000
"R16",120.100,-119.500,top,-90.000
"SW1",101.823,-112.000,top,-90.000
"SW2",121.083,-112.975,top,90.000
"U1",113.000,-106.575,top,0.000
"U2",120.300,-102.475,top,0.000
"U3",113.500,-112.975,top,180.000
